frame.time_utc,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.protocols,frame.time_delta,frame.time_relative,frame.time_delta_displayed,frame.len,eth.src.oui,eth.dst.oui,tcp.len,tcp.ack,tcp.analysis.bytes_in_flight,tcp.analysis.ack_rtt,label
"Dec 22, 2023 03:10:13.652030000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000861,1.869912,0.000861,66,7080836,84,12,112,12,0.000861,1
"Dec 22, 2023 03:10:13.663904000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.011874,1.881786,0.011874,71,84,7080836,17,73,17,0.011874,1
"Dec 22, 2023 03:10:13.732258000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.068354,1.95014,0.068354,82,6939,7080836,28,63,28,0,1
"Dec 22, 2023 03:10:13.732453000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000195,1.950335,0.000195,85,7080836,6939,31,134,31,0.000195,1
"Dec 22, 2023 03:10:13.833872000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.101419,2.051754,0.101419,54,7080836,5797493,0,87,0,0.190896,1
"Dec 22, 2023 03:10:13.864899000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.031027,2.082781,0.031027,54,7080836,84,0,129,0,0.200995,1
"Dec 22, 2023 03:10:14.031930000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.089073,2.249812,0.089073,85,7080836,6939,31,134,31,0,1
"Dec 22, 2023 03:10:14.083866000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.051936,2.301748,0.051936,60,6939,7080836,0,94,0,0.351413,1
"Dec 22, 2023 03:10:14.468828000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.384962,2.68671,0.384962,80,6939,7080836,26,94,26,0,1
"Dec 22, 2023 03:10:14.469031000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.000203,2.686913,0.000203,85,7080836,6939,31,160,31,0.000203,1
"Dec 22, 2023 03:10:14.771942000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.148829,2.989824,0.148829,85,7080836,6939,31,160,31,0,1
"Dec 22, 2023 03:10:14.818945000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.047003,3.036827,0.047003,66,7080836,5797493,12,87,12,0,1
"Dec 22, 2023 03:10:14.819977000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.001032,3.037859,0.001032,66,7080836,84,12,129,12,0,1
"Dec 22, 2023 03:10:14.821050000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp,0.001073,3.038932,0.001073,64,84,7080836,0,85,0,0.001073,1
"Dec 22, 2023 03:10:14.822726000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp,0.001676,3.040608,0.001676,60,6939,7080836,0,125,0,0.353695,1
"Dec 22, 2023 03:10:14.823560000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.000834,3.041442,0.000834,87,5797493,7080836,33,61,33,0.004615,1
"Dec 22, 2023 03:10:14.823989000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000429,3.041871,0.000429,66,7080836,5797493,12,120,12,0.000429,1
"Dec 22, 2023 03:10:14.824894000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.000905,3.042776,0.000905,65,84,7080836,11,85,11,0,1
"Dec 22, 2023 03:10:14.825975000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.001081,3.043857,0.001081,66,7080836,84,12,140,12,0.001081,1
"Dec 22, 2023 03:10:14.827686000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.001711,3.045568,0.001711,64,5797493,7080836,10,73,10,0.003697,1
"Dec 22, 2023 03:10:14.830644000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.002958,3.048526,0.002958,90,84,7080836,36,97,36,0.004669,1
"Dec 22, 2023 03:10:14.830990000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000346,3.048872,0.000346,66,7080836,84,12,176,12,0.000346,1
"Dec 22, 2023 03:10:14.837168000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp:mbtcp:modbus,0.006178,3.05505,0.006178,71,84,7080836,17,109,17,0.006178,1
"Dec 22, 2023 03:10:15.032911000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp,0.195743,3.250793,0.195743,54,7080836,5797493,0,130,0,0.205225,1
"Dec 22, 2023 03:10:15.039926000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp,0.007015,3.257808,0.007015,54,7080836,84,0,193,0,0.202758,1
"Dec 22, 2023 03:10:15.142867000 UTC",192.168.1.3,102,192.168.1.1,18473,eth:ethertype:ip:tcp:tpkt:cotp:s7comm,0.102941,3.360749,0.102941,80,6939,7080836,26,125,26,0,1
"Dec 22, 2023 03:10:15.342946000 UTC",192.168.1.1,18473,192.168.1.3,102,eth:ethertype:ip:tcp,0.200079,3.560828,0.200079,54,7080836,6939,0,186,0,0.200079,1
"Dec 22, 2023 03:10:16.003067000 UTC",192.168.1.1,18474,192.168.1.6,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.660121,4.220949,0.660121,66,7080836,84,12,193,12,0,1
"Dec 22, 2023 03:10:16.003112000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,4.50E-05,4.220994,4.50E-05,66,7080836,5797493,12,130,12,0,1
"Dec 22, 2023 03:10:16.004451000 UTC",192.168.1.6,502,192.168.1.1,18474,eth:ethertype:ip:tcp,0.001339,4.222333,0.001339,64,84,7080836,0,121,0,0.001384,1
"Dec 22, 2023 03:10:16.007355000 UTC",192.168.1.5,502,192.168.1.1,18475,eth:ethertype:ip:tcp:mbtcp:modbus,0.002904,4.225237,0.002904,87,5797493,7080836,33,85,33,0.004243,1
"Dec 22, 2023 03:10:16.008117000 UTC",192.168.1.1,18475,192.168.1.5,502,eth:ethertype:ip:tcp:mbtcp:modbus,0.000762,4.225999,0.000762,66,7080836,5797493,12,163,12,0.000762,1
